distributor,time_start,time_end,usage
Ausgrid,00:00:00,00:30:00,0.2326
Ausgrid,00:30:00,01:00:00,0.2247
Ausgrid,01:00:00,01:30:00,0.214
Ausgrid,01:30:00,02:00:00,0.19
Ausgrid,02:00:00,02:30:00,0.1725
Ausgrid,02:30:00,03:00:00,0.1563
Ausgrid,03:00:00,03:30:00,0.145
Ausgrid,03:30:00,04:00:00,0.1379
Ausgrid,04:00:00,04:30:00,0.1348
Ausgrid,04:30:00,05:00:00,0.1348
Ausgrid,05:00:00,05:30:00,0.1399
Ausgrid,05:30:00,06:00:00,0.1484
Ausgrid,06:00:00,06:30:00,0.1651
Ausgrid,06:30:00,07:00:00,0.1869
Ausgrid,07:00:00,07:30:00,0.2012
Ausgrid,07:30:00,08:00:00,0.2168
Ausgrid,08:00:00,08:30:00,0.221
Ausgrid,08:30:00,09:00:00,0.2213
Ausgrid,09:00:00,09:30:00,0.2207
Ausgrid,09:30:00,10:00:00,0.2186
Ausgrid,10:00:00,10:30:00,0.2162
Ausgrid,10:30:00,11:00:00,0.2142
Ausgrid,11:00:00,11:30:00,0.2124
Ausgrid,11:30:00,12:00:00,0.2125
Ausgrid,12:00:00,12:30:00,0.2138
Ausgrid,12:30:00,13:00:00,0.214
Ausgrid,13:00:00,13:30:00,0.2128
Ausgrid,13:30:00,14:00:00,0.2114
Ausgrid,14:00:00,14:30:00,0.2106
Ausgrid,14:30:00,15:00:00,0.2111
Ausgrid,15:00:00,15:30:00,0.2142
Ausgrid,15:30:00,16:00:00,0.2224
Ausgrid,16:00:00,16:30:00,0.2346
Ausgrid,16:30:00,17:00:00,0.2514
Ausgrid,17:00:00,17:30:00,0.2731
Ausgrid,17:30:00,18:00:00,0.2997
Ausgrid,18:00:00,18:30:00,0.3148
Ausgrid,18:30:00,19:00:00,0.318
Ausgrid,19:00:00,19:30:00,0.312
Ausgrid,19:30:00,20:00:00,0.304
Ausgrid,20:00:00,20:30:00,0.2974
Ausgrid,20:30:00,21:00:00,0.2898
Ausgrid,21:00:00,21:30:00,0.2776
Ausgrid,21:30:00,22:00:00,0.2663
Ausgrid,22:00:00,22:30:00,0.2595
Ausgrid,22:30:00,23:00:00,0.2541
Ausgrid,23:00:00,23:30:00,0.2465
Ausgrid,23:30:00,00:00:00,0.2379
Endeavour,00:00:00,00:30:00,0.2959
Endeavour,00:30:00,01:00:00,0.2865
Endeavour,01:00:00,01:30:00,0.2601
Endeavour,01:30:00,02:00:00,0.2252
Endeavour,02:00:00,02:30:00,0.1991
Endeavour,02:30:00,03:00:00,0.1805
Endeavour,03:00:00,03:30:00,0.1692
Endeavour,03:30:00,04:00:00,0.1628
Endeavour,04:00:00,04:30:00,0.1619
Endeavour,04:30:00,05:00:00,0.1647
Endeavour,05:00:00,05:30:00,0.174
Endeavour,05:30:00,06:00:00,0.1864
Endeavour,06:00:00,06:30:00,0.2078
Endeavour,06:30:00,07:00:00,0.2336
Endeavour,07:00:00,07:30:00,0.2473
Endeavour,07:30:00,08:00:00,0.2642
Endeavour,08:00:00,08:30:00,0.2682
Endeavour,08:30:00,09:00:00,0.2651
Endeavour,09:00:00,09:30:00,0.2653
Endeavour,09:30:00,10:00:00,0.2642
Endeavour,10:00:00,10:30:00,0.2621
Endeavour,10:30:00,11:00:00,0.2604
Endeavour,11:00:00,11:30:00,0.2589
Endeavour,11:30:00,12:00:00,0.2607
Endeavour,12:00:00,12:30:00,0.2623
Endeavour,12:30:00,13:00:00,0.2626
Endeavour,13:00:00,13:30:00,0.2617
Endeavour,13:30:00,14:00:00,0.2636
Endeavour,14:00:00,14:30:00,0.2677
Endeavour,14:30:00,15:00:00,0.2728
Endeavour,15:00:00,15:30:00,0.2826
Endeavour,15:30:00,16:00:00,0.2999
Endeavour,16:00:00,16:30:00,0.3201
Endeavour,16:30:00,17:00:00,0.3445
Endeavour,17:00:00,17:30:00,0.3679
Endeavour,17:30:00,18:00:00,0.3984
Endeavour,18:00:00,18:30:00,0.4127
Endeavour,18:30:00,19:00:00,0.4124
Endeavour,19:00:00,19:30:00,0.4021
Endeavour,19:30:00,20:00:00,0.3912
Endeavour,20:00:00,20:30:00,0.3791
Endeavour,20:30:00,21:00:00,0.3656
Endeavour,21:00:00,21:30:00,0.3483
Endeavour,21:30:00,22:00:00,0.3255
Endeavour,22:00:00,22:30:00,0.3194
Endeavour,22:30:00,23:00:00,0.3196
Endeavour,23:00:00,23:30:00,0.3144
Endeavour,23:30:00,00:00:00,0.3062
Energex,00:00:00,00:30:00,0.1963
Energex,00:30:00,01:00:00,0.1803
Energex,01:00:00,01:30:00,0.1697
Energex,01:30:00,02:00:00,0.1599
Energex,02:00:00,02:30:00,0.1527
Energex,02:30:00,03:00:00,0.1479
Energex,03:00:00,03:30:00,0.1452
Energex,03:30:00,04:00:00,0.1441
Energex,04:00:00,04:30:00,0.1463
Energex,04:30:00,05:00:00,0.1517
Energex,05:00:00,05:30:00,0.1635
Energex,05:30:00,06:00:00,0.179
Energex,06:00:00,06:30:00,0.2029
Energex,06:30:00,07:00:00,0.2316
Energex,07:00:00,07:30:00,0.2577
Energex,07:30:00,08:00:00,0.2681
Energex,08:00:00,08:30:00,0.2705
Energex,08:30:00,09:00:00,0.2689
Energex,09:00:00,09:30:00,0.2693
Energex,09:30:00,10:00:00,0.2687
Energex,10:00:00,10:30:00,0.2669
Energex,10:30:00,11:00:00,0.2661
Energex,11:00:00,11:30:00,0.2653
Energex,11:30:00,12:00:00,0.2676
Energex,12:00:00,12:30:00,0.2699
Energex,12:30:00,13:00:00,0.2718
Energex,13:00:00,13:30:00,0.2745
Energex,13:30:00,14:00:00,0.2761
Energex,14:00:00,14:30:00,0.28
Energex,14:30:00,15:00:00,0.2819
Energex,15:00:00,15:30:00,0.2881
Energex,15:30:00,16:00:00,0.2987
Energex,16:00:00,16:30:00,0.3116
Energex,16:30:00,17:00:00,0.3307
Energex,17:00:00,17:30:00,0.3509
Energex,17:30:00,18:00:00,0.3753
Energex,18:00:00,18:30:00,0.3922
Energex,18:30:00,19:00:00,0.3998
Energex,19:00:00,19:30:00,0.3886
Energex,19:30:00,20:00:00,0.3777
Energex,20:00:00,20:30:00,0.3709
Energex,20:30:00,21:00:00,0.3495
Energex,21:00:00,21:30:00,0.3265
Energex,21:30:00,22:00:00,0.3088
Energex,22:00:00,22:30:00,0.2939
Energex,22:30:00,23:00:00,0.2758
Energex,23:00:00,23:30:00,0.2488
Energex,23:30:00,00:00:00,0.2201
Essential Energy,00:00:00,00:30:00,0.2723
Essential Energy,00:30:00,01:00:00,0.2719
Essential Energy,01:00:00,01:30:00,0.2638
Essential Energy,01:30:00,02:00:00,0.2516
Essential Energy,02:00:00,02:30:00,0.2309
Essential Energy,02:30:00,03:00:00,0.2069
Essential Energy,03:00:00,03:30:00,0.1882
Essential Energy,03:30:00,04:00:00,0.1764
Essential Energy,04:00:00,04:30:00,0.1714
Essential Energy,04:30:00,05:00:00,0.1712
Essential Energy,05:00:00,05:30:00,0.1793
Essential Energy,05:30:00,06:00:00,0.1924
Essential Energy,06:00:00,06:30:00,0.2147
Essential Energy,06:30:00,07:00:00,0.2365
Essential Energy,07:00:00,07:30:00,0.2458
Essential Energy,07:30:00,08:00:00,0.2582
Essential Energy,08:00:00,08:30:00,0.2597
Essential Energy,08:30:00,09:00:00,0.2536
Essential Energy,09:00:00,09:30:00,0.2535
Essential Energy,09:30:00,10:00:00,0.2512
Essential Energy,10:00:00,10:30:00,0.2486
Essential Energy,10:30:00,11:00:00,0.2468
Essential Energy,11:00:00,11:30:00,0.2439
Essential Energy,11:30:00,12:00:00,0.2411
Essential Energy,12:00:00,12:30:00,0.2429
Essential Energy,12:30:00,13:00:00,0.243
Essential Energy,13:00:00,13:30:00,0.2416
Essential Energy,13:30:00,14:00:00,0.2388
Essential Energy,14:00:00,14:30:00,0.2387
Essential Energy,14:30:00,15:00:00,0.2401
Essential Energy,15:00:00,15:30:00,0.2452
Essential Energy,15:30:00,16:00:00,0.2557
Essential Energy,16:00:00,16:30:00,0.2685
Essential Energy,16:30:00,17:00:00,0.2854
Essential Energy,17:00:00,17:30:00,0.3138
Essential Energy,17:30:00,18:00:00,0.3493
Essential Energy,18:00:00,18:30:00,0.3708
Essential Energy,18:30:00,19:00:00,0.3723
Essential Energy,19:00:00,19:30:00,0.3605
Essential Energy,19:30:00,20:00:00,0.3474
Essential Energy,20:00:00,20:30:00,0.3365
Essential Energy,20:30:00,21:00:00,0.3233
Essential Energy,21:00:00,21:30:00,0.3147
Essential Energy,21:30:00,22:00:00,0.3091
Essential Energy,22:00:00,22:30:00,0.3114
Essential Energy,22:30:00,23:00:00,0.2981
Essential Energy,23:00:00,23:30:00,0.2856
Essential Energy,23:30:00,00:00:00,0.2802
SA Power Networks,00:00:00,00:30:00,0.2577
SA Power Networks,00:30:00,01:00:00,0.3017
SA Power Networks,01:00:00,01:30:00,0.2996
SA Power Networks,01:30:00,02:00:00,0.2542
SA Power Networks,02:00:00,02:30:00,0.2145
SA Power Networks,02:30:00,03:00:00,0.1884
SA Power Networks,03:00:00,03:30:00,0.1731
SA Power Networks,03:30:00,04:00:00,0.1557
SA Power Networks,04:00:00,04:30:00,0.1441
SA Power Networks,04:30:00,05:00:00,0.1394
SA Power Networks,05:00:00,05:30:00,0.1417
SA Power Networks,05:30:00,06:00:00,0.1498
SA Power Networks,06:00:00,06:30:00,0.1674
SA Power Networks,06:30:00,07:00:00,0.1802
SA Power Networks,07:00:00,07:30:00,0.2012
SA Power Networks,07:30:00,08:00:00,0.2064
SA Power Networks,08:00:00,08:30:00,0.2008
SA Power Networks,08:30:00,09:00:00,0.1963
SA Power Networks,09:00:00,09:30:00,0.1958
SA Power Networks,09:30:00,10:00:00,0.2001
SA Power Networks,10:00:00,10:30:00,0.2048
SA Power Networks,10:30:00,11:00:00,0.2125
SA Power Networks,11:00:00,11:30:00,0.215
SA Power Networks,11:30:00,12:00:00,0.2157
SA Power Networks,12:00:00,12:30:00,0.2705
SA Power Networks,12:30:00,13:00:00,0.3168
SA Power Networks,13:00:00,13:30:00,0.3146
SA Power Networks,13:30:00,14:00:00,0.2669
SA Power Networks,14:00:00,14:30:00,0.2252
SA Power Networks,14:30:00,15:00:00,0.1978
SA Power Networks,15:00:00,15:30:00,0.1818
SA Power Networks,15:30:00,16:00:00,0.1635
SA Power Networks,16:00:00,16:30:00,0.1513
SA Power Networks,16:30:00,17:00:00,0.1464
SA Power Networks,17:00:00,17:30:00,0.1488
SA Power Networks,17:30:00,18:00:00,0.1573
SA Power Networks,18:00:00,18:30:00,0.1758
SA Power Networks,18:30:00,19:00:00,0.1892
SA Power Networks,19:00:00,19:30:00,0.2113
SA Power Networks,19:30:00,20:00:00,0.2167
SA Power Networks,20:00:00,20:30:00,0.2108
SA Power Networks,20:30:00,21:00:00,0.2061
SA Power Networks,21:00:00,21:30:00,0.2056
SA Power Networks,21:30:00,22:00:00,0.2101
SA Power Networks,22:00:00,22:30:00,0.2151
SA Power Networks,22:30:00,23:00:00,0.2231
SA Power Networks,23:00:00,23:30:00,0.2258
SA Power Networks,23:30:00,00:00:00,0.2265
