"Time (UTC+10)","Regions WA Price ($/MWh)","WA End of Interval Quantity (MW)"
"09-Oct-2024 10:30",-44.801666,1586.693
"09-Oct-2024 11:00",-44.92,1406.339
"09-Oct-2024 11:30",-50.343333,1217.028
"09-Oct-2024 12:00",-228.395,1072.366
"09-Oct-2024 12:30",-72.11,975.493
"09-Oct-2024 13:00",-395.233333,906.876
"09-Oct-2024 13:30",-696.708333,865.051
"09-Oct-2024 14:00",-383.955,799.082
"09-Oct-2024 14:30",-66.016666,808.161
"09-Oct-2024 15:00",-227.578333,825.64
"09-Oct-2024 15:30",-47.631666,897.628
"09-Oct-2024 16:00",-47.631666,946.162
"09-Oct-2024 16:30",-44.801666,1060.979
"09-Oct-2024 17:00",-11.398333,1197.064
"09-Oct-2024 17:30",117.8,1373.564
"09-Oct-2024 18:00",100.648333,1619.965
"09-Oct-2024 18:30",162.208333,1889.774
"09-Oct-2024 19:00",184.221666,2108.677
"09-Oct-2024 19:30",265.508333,2295.785
"09-Oct-2024 20:00",286.335,2401.628
"09-Oct-2024 20:30",135.558333,2473.104
"09-Oct-2024 21:00",95.69,2499.219
"09-Oct-2024 21:30",56.683333,2484.712
"09-Oct-2024 22:00",51.45,2425.392
"09-Oct-2024 22:30",56.683333,2369.246
"09-Oct-2024 23:00",18.638333,2287.679
"09-Oct-2024 23:30",-8.215,2208.593
"10-Oct-2024 00:00",-10.04,2129.195
"10-Oct-2024 00:30",-10.04,2050.36
"10-Oct-2024 01:00",-21.43,1963.732
"10-Oct-2024 01:30",-44.328333,1892.073
"10-Oct-2024 02:00",-44.21,1836.872
"10-Oct-2024 02:30",-44.21,1806.967
"10-Oct-2024 03:00",-44.21,1762.998
"10-Oct-2024 03:30",-44.21,1740.918
"10-Oct-2024 04:00",-44.21,1719.064
"10-Oct-2024 04:30",-44.21,1716.591
"10-Oct-2024 05:00",-44.21,1704.234
"10-Oct-2024 05:30",-44.21,1714.739
"10-Oct-2024 06:00",-32.82,1721.227
"10-Oct-2024 06:30",-10.04,1743.637
"10-Oct-2024 07:00",-10.04,1816.493
"10-Oct-2024 07:30",-0.903333,1908.981
"10-Oct-2024 08:00",42.17,1973.066
"10-Oct-2024 08:30",8.41,2016.99
"10-Oct-2024 09:00",-21.26,1981.269
"10-Oct-2024 09:30",-44.361666,1894.456
"10-Oct-2024 10:00",-44.92,1736.698
"10-Oct-2024 10:30",-44.801666,1575.442
"10-Oct-2024 11:00",-50.343333,1342.046
"10-Oct-2024 11:30",-61.74,1129.548
"10-Oct-2024 12:00",-243.876666,1036.14
"10-Oct-2024 12:30",-1000,874.626
"10-Oct-2024 13:00",-1000,823.173
"10-Oct-2024 13:30",-1000,782.602
"10-Oct-2024 14:00",-1000,747.299
"10-Oct-2024 14:30",-877.116666,777.855
"10-Oct-2024 15:00",-699.29,828.203
"10-Oct-2024 15:30",-102.89,879.002
"10-Oct-2024 16:00",-56.506666,971.216
"10-Oct-2024 16:30",-13.366666,1088.816
"10-Oct-2024 17:00",39.433333,1209.746
"10-Oct-2024 17:30",115.721666,1403.89
"10-Oct-2024 18:00",141.126666,1632.444
"10-Oct-2024 18:30",141.231666,1840.392
"10-Oct-2024 19:00",158.216666,2080.588
"10-Oct-2024 19:30",177.763333,2289.462
"10-Oct-2024 20:00",224.49,2402.369
"10-Oct-2024 20:30",151.075,2489.052
"10-Oct-2024 21:00",134.66,2517.113
"10-Oct-2024 21:30",123.741666,2501.936
"10-Oct-2024 22:00",115.028333,2438.263
"10-Oct-2024 22:30",115.035,2367.667
"10-Oct-2024 23:00",109.361666,2306.472
"10-Oct-2024 23:30",90.833333,2225.068
"11-Oct-2024 00:00",94.976,2140.482
"11-Oct-2024 00:30",86.375,2063.134
"11-Oct-2024 01:00",55.398333,1996.381
"11-Oct-2024 01:30",46.886666,1927.76
"11-Oct-2024 02:00",66.036666,1877.155
"11-Oct-2024 02:30",69.24,1818.888
"11-Oct-2024 03:00",50.865,1780.047
"11-Oct-2024 03:30",51.888333,1769.793
"11-Oct-2024 04:00",52.295,1766.453
"11-Oct-2024 04:30",46.545,1734.295
"11-Oct-2024 05:00",47.95,1724.025
"11-Oct-2024 05:30",45.75,1714.578
"11-Oct-2024 06:00",47.346666,1730.204
"11-Oct-2024 06:30",51.473333,1765.25
"11-Oct-2024 07:00",80.446666,1815.147
"11-Oct-2024 07:30",92.86,1876.661
"11-Oct-2024 08:00",248.236666,1945.086
"11-Oct-2024 08:30",94.916666,1987.934
"11-Oct-2024 09:00",35.415,1957.018
"11-Oct-2024 09:30",86.048333,1887.348
"11-Oct-2024 10:00",84.01,1777.632
"11-Oct-2024 10:30",76.226666,1607.282
"11-Oct-2024 11:00",70.906666,1439.86
"11-Oct-2024 11:30",44.481666,1302.462
"11-Oct-2024 12:00",31.22,1202.779
"11-Oct-2024 12:30",24.525,1154.411
"11-Oct-2024 13:00",55.023333,1104.391
"11-Oct-2024 13:30",94.795,1132.015
"11-Oct-2024 14:00",38.205,1139.756
"11-Oct-2024 14:30",40.911666,1157.449
"11-Oct-2024 15:00",65.583333,1185.406
"11-Oct-2024 15:30",22.803333,1264.362
"11-Oct-2024 16:00",2.8,1375.044
"11-Oct-2024 16:30",90.428333,1595.373
"11-Oct-2024 17:00",110.801666,1815.416
"11-Oct-2024 17:30",69.228333,1911.388
"11-Oct-2024 18:00",142.093333,1972.46
"11-Oct-2024 18:30",114.57,2279.849
"11-Oct-2024 19:00",116.378333,2273.776
"11-Oct-2024 19:30",137.706666,2474.977
"11-Oct-2024 20:00",218.911666,2541.283
"11-Oct-2024 20:30",150.645,2574.02
"11-Oct-2024 21:00",212.901666,2582.561
"11-Oct-2024 21:30",150.623333,2574.923
"11-Oct-2024 22:00",139.325,2505.444
"11-Oct-2024 22:30",138.06,2441.906
"11-Oct-2024 23:00",130.841666,2363.15
"11-Oct-2024 23:30",126.913333,2288.318
"12-Oct-2024 00:00",109.744,2213.219
"12-Oct-2024 00:30",332.115,2129.454
"12-Oct-2024 01:00",263.298333,2082.038
"12-Oct-2024 01:30",201.543333,2010.684
"12-Oct-2024 02:00",314.046666,1948.333
"12-Oct-2024 02:30",58.208333,1899.686
"12-Oct-2024 03:00",84.58,1848.166
"12-Oct-2024 03:30",121.195,1844.626
"12-Oct-2024 04:00",378.54,1822.242
"12-Oct-2024 04:30",187.236666,1811.282
"12-Oct-2024 05:00",184.301666,1795.298
"12-Oct-2024 05:30",143.026666,1791.857
"12-Oct-2024 06:00",115.848333,1794.453
"12-Oct-2024 06:30",124.02,1797.201
"12-Oct-2024 07:00",263.825,1813.542
"12-Oct-2024 07:30",378.621666,1857.746
"12-Oct-2024 08:00",212.605,1863.651
"12-Oct-2024 08:30",101.01,1885.766
"12-Oct-2024 09:00",98.35,1868.05
"12-Oct-2024 09:30",72.968333,1830.606
"12-Oct-2024 10:00",24.085,1742.575
"12-Oct-2024 10:30",56.416666,1574.16
"12-Oct-2024 11:00",85.126666,1351.249
"12-Oct-2024 11:30",-13.825,1256.027
"12-Oct-2024 12:00",-21.26,1149.908
"12-Oct-2024 12:30",-21.26,1118.75
"12-Oct-2024 13:00",-43.7,1104.596
"12-Oct-2024 13:30",-43.87,1010.529
"12-Oct-2024 14:00",-44.565,1006.353
"12-Oct-2024 14:30",-76.203333,948.39
"12-Oct-2024 15:00",-71.835,891.108
"12-Oct-2024 15:30",-86.756666,899.341
"12-Oct-2024 16:00",-72.11,876.181
"12-Oct-2024 16:30",-66.741666,906.304
"12-Oct-2024 17:00",-53.055,1002.21
"12-Oct-2024 17:30",-49.825,1203.508
"12-Oct-2024 18:00",-33.175,1414.065
"12-Oct-2024 18:30",48.421666,1641.718
"12-Oct-2024 19:00",183.225,1848.654
"12-Oct-2024 19:30",123.02,2077.463
"12-Oct-2024 20:00",263.556666,2230.445
"12-Oct-2024 20:30",657.026666,2313.206
"12-Oct-2024 21:00",728.31,2339.148
"12-Oct-2024 21:30",416.163333,2341.015
"12-Oct-2024 22:00",110.348333,2283.506
"12-Oct-2024 22:30",115.861666,2220.524
"12-Oct-2024 23:00",258.828333,2183.03
"12-Oct-2024 23:30",297.701666,2127.736
"13-Oct-2024 00:00",120.13,2041.357
"13-Oct-2024 00:30",95.705,1991.277
"13-Oct-2024 01:00",114.658333,1932.975
"13-Oct-2024 01:30",107.52,1875.151
"13-Oct-2024 02:00",97.795,1834.879
"13-Oct-2024 02:30",106.566666,1799.04
"13-Oct-2024 03:00",139.7,1773.142
"13-Oct-2024 03:30",115.673333,1753.743
"13-Oct-2024 04:00",105.626666,1746.372
"13-Oct-2024 04:30",111.78,1736.62
"13-Oct-2024 05:00",115.29,1726.399
"13-Oct-2024 05:30",122.978333,1718.089
"13-Oct-2024 06:00",197.2,1719.3
"13-Oct-2024 06:30",117.44,1740.77
"13-Oct-2024 07:00",123.965,1747.381
"13-Oct-2024 07:30",191.986666,1766.181
"13-Oct-2024 08:00",551.716666,1752.544
"13-Oct-2024 08:30",166.57,1724.536
"13-Oct-2024 09:00",35.301666,1645.38
"13-Oct-2024 09:30",58.428333,1520.852
"13-Oct-2024 10:00",84.01,1362.531
"13-Oct-2024 10:30",58.355,1192.198
"13-Oct-2024 11:00",-50.27,1028.458
"13-Oct-2024 11:30",-330.025,874.988
"13-Oct-2024 12:00",-1000,789.066
"13-Oct-2024 12:30",-1000,707.605
"13-Oct-2024 13:00",-1000,660.215
"13-Oct-2024 13:30",-1000,658.815
"13-Oct-2024 14:00",-1000,624
"13-Oct-2024 14:30",-1000,623.487
"13-Oct-2024 15:00",-1000,650.397
"13-Oct-2024 15:30",-1000,680.896
"13-Oct-2024 16:00",-868.033333,736.185
"13-Oct-2024 16:30",-90.426666,855.178
"13-Oct-2024 17:00",-52.73,1012.471
"13-Oct-2024 17:30",-41.47,1203.179
"13-Oct-2024 18:00",45.561666,1486.753
"13-Oct-2024 18:30",99.723333,1764.352
"13-Oct-2024 19:00",181.683333,2024.515
"13-Oct-2024 19:30",383.566666,2231.461
"13-Oct-2024 20:00",267.225,2346.936
"13-Oct-2024 20:30",160.223333,2391.567
"13-Oct-2024 21:00",279.635,2414.056
"13-Oct-2024 21:30",269.826666,2406.027
"13-Oct-2024 22:00",151.528333,2341.621
"13-Oct-2024 22:30",133.056666,2259.314
"13-Oct-2024 23:00",257.501666,2185.18
"13-Oct-2024 23:30",138.608333,2135.017
"14-Oct-2024 00:00",112.44,2071.306
"14-Oct-2024 00:30",109.44,1999.652
"14-Oct-2024 01:00",377.288333,1931.59
"14-Oct-2024 01:30",123.503333,1885.269
"14-Oct-2024 02:00",99.98,1840.866
"14-Oct-2024 02:30",101.73,1810.424
"14-Oct-2024 03:00",100.861666,1780.403
"14-Oct-2024 03:30",101.8,1755.855
"14-Oct-2024 04:00",95.175,1733.76
"14-Oct-2024 04:30",98.026666,1711.277
"14-Oct-2024 05:00",96.45,1701.981
"14-Oct-2024 05:30",99.278333,1709.4
"14-Oct-2024 06:00",110.875,1728.452
"14-Oct-2024 06:30",109.02,1777.995
"14-Oct-2024 07:00",116.21,1832.855
"14-Oct-2024 07:30",396.595,1891.14
"14-Oct-2024 08:00",387.876666,1946.199
"14-Oct-2024 08:30",107.968333,1965.199
"14-Oct-2024 09:00",98.383333,1960.079
"14-Oct-2024 09:30",98.723333,1921.209
"14-Oct-2024 10:00",93.9,1858.582